PM2.5,PM10,NO2,SO2,CO,O3,AQI
117.64,186.7,49.27,33.49,4.01,36.93,289.8
61.51,60.47,42.52,30.08,5.99,134.57,151.1044776
42.79,186.5,34.72,32.75,4.05,165.8,197.7164179
99.67,182.25,15.05,30.31,0.71,104.82,229.9
43.62,96.22,91.76,46.28,0.62,135.4,152.3432836
104.18,150.19,44.32,12.11,4.76,162.48,244.9333333
132.13,125.22,51.69,29.84,3.87,160.86,309.5615385
122.71,110.47,78.72,45.35,2.38,89.7,302.3153846
82.76,11.97,45.12,21.02,2.78,192.53,261.3333333
116.55,15.85,8,48.47,3.81,106.48,286.1666667
76.49,157.45,33.55,17.71,2.43,124.68,152.6333333
148.44,193.88,24.88,7.26,9.12,10.37,322.1076923
7.17,67.57,40.12,24.43,0.56,145.28,167.0895522
58.13,81.33,31.67,8.3,1.95,167.79,200.6865672
81.57,125.21,27.25,10.14,5.23,133.79,169.5666667
106.1,192.72,87.56,30.66,9.42,84.44,251.3333333
113.13,196.42,75.01,27.82,1.86,135.44,274.7666667
36.24,57.46,21.67,49.47,7.87,159.22,187.8955224
109.45,135.77,89.51,49.18,2.14,40.67,262.5
87.36,75.87,22.89,23.88,4.58,98.42,188.8666667
24.85,27.35,27.68,44.03,7.68,33.61,54.7875
101.21,70.07,43.33,28.93,4.19,20.25,235.0333333
27.18,26.47,66.21,45.15,5.42,139.81,158.9253731
18.23,85.36,59.85,46.99,8.92,121.09,130.9850746
76.83,99.21,70.75,15.22,5.27,185.11,242.3076923
103.53,86.55,32.2,28.73,5.87,12.05,242.7666667
142.21,73.79,19.41,2.3,5.31,49.86,317.3153846
48.36,181.74,95.72,1.04,9.15,79.65,154.8266667
140.81,112.01,92.23,19.31,1.84,162.49,316.2384615
36.97,174.27,92.31,5.83,6.72,53.04,149.8466667
7.9,176.85,63.2,12.53,4.17,195.52,269
48.53,58.95,86.86,30.17,3.44,189.93,254.6666667
56.2,115.21,37.11,18.8,3.22,18.7,110.4733333
106.97,143.17,49,21.1,3.06,184.43,254.2333333
133.99,193.54,49.1,45.92,9.06,132.52,310.9923077
22.05,196.64,59.36,23.47,1.47,178.93,226.4615385
23.26,31.18,72.35,23,1.19,47.33,90.1875
107.28,50.78,32.19,46.2,7.22,180.13,255.2666667
51.23,197.82,80.38,47.53,1.74,20.81,165.5466667
142.55,189.38,7.66,7.98,6.92,56.56,317.5769231
105.74,182.03,44.08,2.95,2.88,35.15,250.1333333
93.68,59.02,30.01,26.48,4.69,171.34,209.9333333
134.62,165.45,83.39,39.7,5.1,41.31,311.4769231
75.67,56.37,94.76,21.73,7.69,133.39,149.9
135.33,46.11,89.69,29.94,9.83,186.39,312.0230769
62.61,194.27,60.84,44.48,1.27,156.38,183.6567164
20.56,19.06,85.27,10.54,3.19,58.93,105.27
109.92,158.76,37.26,5.75,5.74,82.29,264.0666667
141.59,176.33,84.38,39.38,1.96,169.19,316.8384615
37.63,141.74,67.32,12.82,5.07,58.86,128.16
108.32,153.08,14.25,34.62,6.1,83.46,258.7333333
122.81,124.47,53.19,21.88,9.94,10.11,302.3923077
13.93,188.98,61.63,6.29,2.55,70.5,159.6533333
71.6,168.4,14.88,44.17,5.24,140.11,159.3731343
18.87,67.55,29.58,48.67,4.96,80.61,80.61
22.27,20.48,92.96,8.74,3.51,46.73,112.96
21.63,131.64,91.93,25.92,7.8,39.01,121.4266667
147.95,46.83,30.12,49.26,3.46,111.03,321.7307692
58.33,103.74,27.16,45.17,8.61,100.1,102.8266667
113.57,182.44,98.62,6.65,7.32,59.75,276.2333333
143.17,67.59,34.91,17.05,1.49,158.04,318.0538462
138.6,95.56,26.64,32.72,4.96,48.36,314.5384615
95.78,120.41,13.53,2.44,4.76,158.63,216.9333333
105.15,30.89,27.79,9.66,7.34,123.33,248.1666667
99.12,100.43,22.45,6.89,2.18,87.89,228.0666667
32.26,174.93,32.57,45.86,6.43,68.5,150.2866667
51,65.02,37.8,18.2,0.64,186.14,244.9487179
107.15,21.99,69.3,31.19,6.65,112.04,254.8333333
111.68,148.39,96.6,44.06,1.4,50.25,269.9333333
71.61,135.7,61.54,48.2,2.55,125.14,137.0298507
64.72,89.08,94.8,36.67,3.36,45.65,114.8
62.81,94.94,11.02,21.97,6.15,29.37,107.0333333
103.86,189.45,87.36,49.54,7.87,54.01,243.8666667
20.5,91.96,56.48,2.85,1.48,41.52,91.96
17.6,75.31,92.86,28.39,6.18,94.76,112.86
56.21,162.96,68.29,3.65,8.76,59.23,142.3066667
78.04,81.83,46.6,45.89,6.73,164,195.0298507
138.23,188.75,45.5,15.28,5.14,108.28,314.2538462
25.37,40.66,40.16,14.08,5.29,59.5,59.5
50.44,22.91,19.01,43.73,9.82,20.52,83.4
67.23,14.08,57.71,21.87,1.13,179.3,227.4102564
33.1,102.66,8.91,41.34,4.99,70.87,102.1066667
21.8,118.08,41.26,24.77,7.5,91.4,112.3866667
119.75,158.85,73.36,5.31,6.59,182.6,296.8333333
102.58,120.35,75.83,9.4,1.68,70.86,239.6
106.45,167,47.23,40.55,9.71,127.06,252.5
97.87,127.17,94.58,33.15,4.9,94.21,223.9
77.34,167.68,77.17,30.84,5.63,32.61,155.4666667
14.98,80.36,63.9,21.7,9.61,46.49,80.36
64.28,154.05,75.32,28.71,4.96,159.82,188.7910448
29.02,113.23,9.64,43.22,8.79,103.58,109.1533333
126.39,188.12,70.48,17.84,9.75,150.32,305.1461538
134.06,22.55,58.18,28.75,8.91,61.33,311.0461538
58.77,193.29,7.16,18.05,9.11,181.85,233.9487179
44.2,196.44,65.15,5.46,6.78,168.6,164.6266667
97.85,104.91,49.52,30.65,4.09,16.34,223.8333333
32.5,120.35,66.92,30.19,2.35,58.27,113.9
9.19,149.75,48.8,2.58,5.73,147.61,170.5671642
18.96,117.93,20.62,16.69,2.48,175.8,218.4358974
34.86,174.02,35.9,21.55,8.48,150.28,174.5522388
59.78,118.64,27.66,1.68,8.25,130.26,144.6716418
137.45,139.03,9.83,32.12,7.98,39.71,313.6538462
109.78,72.46,27.85,49.74,7.07,139.46,263.6
28.18,197.72,49.18,23.61,2.71,82.08,165.48
133.79,22.29,38.98,17.58,8.77,188.07,310.8384615
132.65,90.85,96.31,39.33,2.99,150.38,309.9615385
55.22,135.61,63.23,29.75,1.29,18.18,124.0733333
112.08,25.86,19.5,28.71,2.53,96.31,271.2666667
63.83,172.59,56.33,11.24,2.26,23.46,148.7266667
44.22,104.34,46.21,14.72,2.77,163.22,193.8656716
24.74,118.36,74.05,10.81,0.7,188.08,249.9230769
91.36,86.19,8.6,5.24,9.75,185.79,244.0512821
121.88,178.08,64.42,11.73,0.89,142.32,301.6769231
142.16,39.07,17.62,41.16,9.62,159.59,317.2769231
117.72,17.67,11.46,17.26,1.15,184.73,290.0666667
39.86,161.82,9.06,32.29,6.91,20.38,141.5466667
64.81,46.01,11.56,12.42,3.56,69.44,113.7
77.87,147.55,89.94,48.73,3.73,148.15,171.3731343
129.55,184.47,85.63,18.96,8.47,106.4,307.5769231
50.26,83.32,95.44,25.87,3.68,194.54,266.4871795
134.42,25.39,34.99,13.78,3.53,57.99,311.3230769
76.54,66.49,91.41,17.36,8.7,195.81,269.7435897
115.11,193.78,51.06,2.2,9.09,81.3,281.3666667
59.32,106.9,44.65,4.54,6.86,154.56,180.9402985
28.37,87.84,72.75,45.88,0.89,72.12,90.6875
92.76,113.05,20.41,28.73,3.92,44.37,206.8666667
136.26,179.46,90.66,2.91,8.01,119.83,312.7384615
25.83,126.58,23.74,37.54,0.7,137.68,155.7462687
62.7,184.21,28.35,33.44,0.32,44.15,156.4733333
92.5,119.5,75.74,5.59,9.29,148.59,206
139.36,103.33,92.92,22.79,5.69,18.84,315.1230769
103.6,195.23,29.6,39.41,0.42,66.51,243
40.51,163.2,15.05,41.03,4.21,61.99,142.4666667
80.09,98.01,25.86,6.46,4.24,84.81,164.6333333
51.69,106.89,89.04,23.04,1.24,116.55,124.2089552
123.46,49.77,84,32.36,1.94,95.78,302.8923077
104.04,92.3,39.22,1.18,3.63,74.04,244.4666667
23.94,199.28,40.93,12.68,7.11,132.45,166.52
108.09,195.37,54.9,12.47,8.09,33.01,257.9666667
148.59,132.63,70.44,9.3,4.61,184.46,322.2230769
61.47,152.85,81.37,37.38,5.94,122.03,135.5666667
17.25,38.93,79.62,31.98,1.79,150.52,174.9104478
116.29,138.25,29.89,23.58,2.59,122.17,285.3
42.63,113.99,69.78,22.16,9.17,67.62,109.66
40.26,105.74,53.77,35.07,3.65,69.69,104.16
129.77,87.25,18.25,27.97,7.72,59.5,307.7461538
29.81,21.5,56.99,11.58,3.39,34.4,70.9875
47.5,133.65,36.7,7.45,4.28,139.85,158.9850746
66.09,81.75,22.31,4.5,6.9,198.9,277.6666667
109.48,102.21,86.47,18.68,2.12,131.99,262.6
116.15,118.21,49.37,29.29,5.36,95.91,284.8333333
13.3,162.17,22.24,23.28,7.66,19.06,141.78
122.52,47.12,77.33,25.2,9.58,28.04,302.1692308
122.52,112.07,9.64,7.58,7.47,117.47,302.1692308
75.74,189.58,20.16,32.53,9.07,84.74,160.0533333
132.81,27.49,49.59,47.89,8.11,140.67,310.0846154
126.47,165.34,42.62,41.21,1.27,141.56,305.2076923
13.88,182.82,55.49,4.44,2.09,157.38,185.1492537
48.09,140.61,55.62,26.39,5.62,141.66,161.6865672
133.54,110.25,52.83,25.57,1.63,173.93,310.6461538
94.08,126.1,77.93,21.81,9.28,53.86,211.2666667
131.72,145.02,95.36,39.67,4.45,87.13,309.2461538
32.87,18.04,48.42,36.44,3.13,47.07,60.275
143.2,46.89,81.42,26.74,6.54,116.74,318.0769231
51.71,179.58,84.74,28.87,9.79,145.21,166.9850746
43.41,80,91,3.36,6.48,75.13,111
59.49,123.85,29.42,32.76,7.44,143.69,164.7164179
141.78,98.43,74.58,34.34,5.2,68.54,316.9846154
63.69,151.02,43.17,45.08,7.95,192.52,261.3076923
81.62,57.14,55.53,43.85,2.64,87.93,169.7333333
14.43,99.46,92.05,32.84,3.16,171.43,207.2307692
88.28,157.91,43.61,37.47,7.18,166.82,199.238806
71.19,81.69,10.1,2.75,6.83,67.55,134.9666667
143.27,63.45,68.99,3.53,5.04,93.61,318.1307692
19.98,122.84,88.8,28.74,7.46,135.12,151.9253731
79.53,77.39,7.51,27.17,7.66,105.85,162.7666667
41.11,176.84,47.31,1.81,9.11,132.73,151.56
46.05,88.02,68.63,33.14,1.11,101.33,101.4925373
82.92,125.4,54.59,44.8,8.26,191.19,257.8974359
65.97,162.15,6.38,34.95,7.25,51.22,141.7666667
110.66,18.04,62.19,35.74,3.11,108.47,266.5333333
82.13,190.13,85.54,24.54,0.89,74.33,171.4333333
48.81,116.57,25.95,16.45,9.35,74.22,111.38
9.73,154.34,45.91,34.14,1.62,152.4,177.7164179
139.38,41.54,8.49,10.83,9.83,80.09,315.1384615
93.51,165.89,82.64,38.35,2.25,58.48,209.3666667
139.73,110.38,24.97,18.57,5.19,143.6,315.4076923
90.17,124.95,82.16,29.57,1.2,193.41,263.5897436
104.31,129.9,83.7,3.38,0.47,182.48,245.3666667
65.84,65.08,79.6,19.01,4.8,17.13,117.1333333
93.6,153.25,75.34,37.16,6.86,23.78,209.6666667
52.84,171.99,71.28,48.14,8.77,95.86,148.3266667
31.45,114.1,11.36,41.03,4.44,40.72,109.7333333
119.66,117.54,53.85,22.81,8.83,74.43,296.5333333
147.48,64.07,50.3,35.28,7.34,33.51,321.3692308
100.02,121.33,28.63,10.62,0.81,120.32,231.0666667
121.12,137.14,37.72,40.55,1.18,58.23,301.0923077
118.68,109.09,21.3,16.25,9.46,162.88,293.2666667
9.03,29.68,20.78,19.39,3.34,138.19,156.5074627
102.77,153.34,25.04,22.98,3.51,175.58,240.2333333
81.41,93.29,46.11,22.66,8.37,41.02,169.0333333
29.02,187.35,87.99,11.21,5.31,34.76,158.5666667
91.92,89.21,53.13,2.98,6.31,162.56,204.0666667
115.01,174.63,93,1.74,4.67,56.77,281.0333333
107.07,177.08,81.49,28.35,2.09,135.43,254.5666667
131.54,76.19,77.93,27.96,3.68,38.34,309.1076923
19.59,93.44,12.19,39.92,4.98,71.48,93.44
7.64,86.16,52.15,21.63,1.05,193.71,264.3589744
38.7,177.83,85.32,10.82,2.22,40.78,152.22
112.17,87.13,25.46,9.29,2.81,161.64,271.5666667
106.48,111,34.87,20.99,2.8,125.03,252.6
15.09,49.57,86.4,36.26,9.78,87.19,106.4
119.84,143.8,22.69,31.04,9.26,131.1,297.1333333
120.51,11.55,85.7,27.74,6.34,52.8,105.7
20.32,178.06,91.45,37.8,8.85,76.06,152.3733333
32.45,41.55,84.85,33.23,3.97,111.66,116.9104478
82.22,156.35,42.7,8.39,3.77,116.19,171.7333333
40.29,70.98,9.69,22.12,5.09,78.38,78.38
123.42,48.19,12.03,30.94,0.25,105.4,302.8615385
104.65,85.29,36.82,31.04,9.85,155.11,246.5
77.11,191.74,48.31,25.19,5.5,179.27,227.3333333
137.86,178.08,48.76,26.13,6.74,95.32,313.9692308
93.66,47.91,14.46,10.41,8.28,42.47,209.8666667
125.84,108.39,30.63,43.15,7.6,100.72,304.7230769
98.42,172.82,81.2,29.13,1.65,151.28,225.7333333
100.4,186.78,17.46,22.49,8.64,92.78,232.3333333
33.28,92.39,88.34,16.19,6.05,58.78,108.34
146.22,174.35,60.6,17.3,4.14,86.69,320.4
134.3,115.32,51.76,46.93,4.05,71.78,311.2307692
21.04,71.34,78.42,4.72,2.54,13.91,97.775
13.18,123.15,24.65,7.57,6.33,191.07,257.5897436
91.4,35.64,26.59,25.62,5.11,51.49,202.3333333
148.41,95.89,77.67,5.78,6.04,127.57,322.0846154
73.95,47.48,73.92,25.2,5.56,98.36,144.1666667
127.65,162.89,22.74,32.14,5.13,174.77,306.1153846
87.55,32.16,87.89,3.87,2.75,134.39,189.5
102.98,73.84,79.54,1.04,7.2,105.39,240.9333333
26.18,191.37,44.6,26.09,2.59,179.89,228.9230769
13.69,48.5,85.73,8.74,0.45,91.07,105.73
127.96,198.73,20.24,26.81,7.17,81.47,306.3538462
45.44,151.17,22.87,7.54,8.07,27.12,134.4466667
107.46,164.4,44.53,31.09,6.61,132.94,255.8666667
96.25,74.56,65.79,41.95,3.4,22,218.5
129.91,55.89,54.35,42.13,5.56,91.93,307.8538462
33.74,10.8,16.44,18.7,0.94,191.87,259.6410256
77.24,32.46,97.91,36.42,1.4,45.33,155.1333333
24.52,156.19,78.02,3.05,9.45,67.55,137.7933333
107.97,80,80.94,25.25,9.18,164.66,257.5666667
119.03,121.14,54.72,23.88,4.27,162.09,294.4333333
8.44,32.02,42.87,38.19,5.53,162.81,193.2537313
69.91,171.14,11.43,6.84,0.93,157.09,184.7164179
120,10.31,13.1,46.87,8.07,28.91,297.6666667
125.3,21.58,11.92,28.9,1.56,127.38,304.3076923
42.49,62.03,20.43,38.84,9.63,120.12,129.5373134
12.07,113.82,88.86,11.18,3.53,168.86,109.5466667
15.21,61.69,25.52,7.1,9.32,97.07,97.07
67.67,53.85,33.07,10.24,3.18,142.55,163.0149254
121.2,100.07,11.22,5.96,5.81,121.3,301.1538462
39.71,16.58,45.52,28.64,9.35,104.47,106.1791045
138.07,89.03,92.42,32.11,3.38,161.93,314.1307692
39.37,172.09,34.06,30.2,2.36,169.41,202.0512821
89.86,37.91,82.54,46.68,8.74,131.3,197.2
63.07,56.55,93.13,39.39,3.83,43.07,113.13
143.85,59.99,70.1,48.94,4.05,20.33,318.5769231
30.04,166.92,18.86,10.33,2.14,143.79,164.8656716
144.52,65.53,27.82,44.11,8.64,196.66,319.0923077
105.24,65.32,45.71,5.06,0.73,125.34,248.4666667
7.69,85.79,65.19,25.65,5.28,152.2,177.4179104
21.66,142.5,60.19,11.8,2.1,172.24,209.3076923
121.19,125.36,61.06,43.64,0.69,68.53,301.1461538
87.42,77.09,75.26,12.51,1.76,10.16,189.0666667
11.16,96.86,23.28,38.72,2.5,103.93,105.3731343
51.15,14.27,50.73,11.48,9.35,68.79,84.58333333
78.28,158.09,83.92,21.8,6.51,103.83,158.6
95.61,38.19,41.1,48.97,2.33,171.31,216.3666667
141.95,73.75,88.56,44.03,6.58,134.26,317.1153846
147.56,112.17,36.68,8.6,0.32,72.22,321.4307692
128.06,111.64,45.84,44.35,9.57,165.87,306.4307692
142.61,131.62,29.35,19.91,1.54,133.4,317.6230769
139.33,122.49,27.6,18.05,2.72,27.44,315.1
95.92,140.66,75.18,49.24,1.43,109.06,217.4
53.69,44.13,56.05,28.28,4.87,169.75,202.9230769
62.72,60.19,11.34,46.97,8.75,139,157.7164179
124.13,45.26,71.55,2.55,8.56,193.09,303.4076923
76.26,48.14,34.97,25.3,2.89,172.58,210.1794872
134,85.84,45.02,1.69,1.25,192.53,311
133.74,49.38,52.17,6.13,3.64,72.92,310.8
144.47,59.22,77.94,32.81,6.73,64.49,319.0538462
8.87,171.94,17.43,26.28,0.37,29.85,148.2933333
146.81,135.84,88.29,49.44,9.14,50.05,320.8538462
81.25,104.86,33.63,13.23,9.15,101.42,168.5
132.84,185.21,88.41,12.47,4.72,11.82,310.1076923
26.2,85.27,46.19,46.17,7.66,79.97,85.27
60,77.03,12.64,25.32,4.83,34.23,99.33333333
103.55,61.16,83.82,1.03,1.21,95.06,242.8333333
98.81,137.68,76.57,21.23,5.37,73.29,227.0333333
69.32,46.74,44.64,9.83,9.72,10.25,128.7333333
104.12,98.54,89.21,1.44,9.95,155.96,244.7333333
135.56,174.24,25.3,10.39,9.91,83.55,312.2
57.52,82.96,36.22,20.05,5.73,101.99,102.4776119
56.76,18.4,12.13,12.55,8.82,45.18,93.93333333
126.95,185.35,58.91,5.92,0.3,177.85,305.5769231
91.67,29.27,69.35,20.1,4.86,86.04,203.2333333
33.36,22.58,29.7,20.55,7.8,181.23,232.3589744
33.39,49.35,23.19,48.73,3.5,146.6,169.0597015
22.38,116.77,17.94,8.36,5.38,156.14,183.2985075
133.26,36.86,96.92,20.59,2.69,55.17,310.4307692
92.4,29.51,93.48,25.21,2.06,168.89,205.6666667
51.61,61.59,42.6,30.9,1.3,193.39,263.5384615
19.65,180.43,73.26,43.14,4.1,147.83,170.8955224
55.61,47.81,53.83,2.83,0.1,123.76,134.9701493
120.57,89.65,82.43,5.55,7.07,92.15,102.43
107.48,150.16,19.54,33.89,9.75,115.68,255.9333333
58.89,147.43,35.32,2.15,7.56,58.4,131.9533333
42.65,79.05,98.69,43.01,3.4,21.49,118.69
65.37,107.61,21.2,8.48,7.43,102.78,115.5666667
114.83,42.06,86.84,40.33,2.25,175.32,280.4333333
149.69,129.42,50.7,44.87,4.44,158.03,323.0692308
46.13,95.71,73.05,36.4,1.26,95.94,95.94
38.13,99.29,16.23,37.56,0.62,78.66,99.29
67.11,24.33,87.21,24.89,0.51,62.7,121.3666667
44.68,115.3,19.72,21.85,6.4,69.14,110.5333333
80.42,159.02,26.14,41.38,3.01,47.17,165.7333333
111.66,100.86,23.85,4.11,2.38,100.4,269.8666667
15.32,149.32,62.67,40.89,8.81,182.97,236.8205128
18.34,82.79,58.84,40.72,0.65,86.07,86.07
86.64,139.05,35.36,26.36,5.56,103.57,186.4666667
47.7,109.37,15.81,26.87,4.06,101.61,106.58
64.92,35.92,92.27,16.2,6,147.32,170.1343284
56.48,65.96,95.14,10.92,3.53,176.13,219.2820513
107.74,176.28,36.82,25.72,9.85,58.04,256.8
80.38,176.91,53.37,43.65,5.54,86.82,165.6
36.19,194.51,83.11,19.86,8.57,193.13,262.8717949
145.52,133.21,29.8,30.52,5.94,104.51,319.8615385
135.18,36.57,51.95,2.64,8.73,140.09,311.9076923
138.24,112.62,97.93,6.17,8.59,123.52,314.2615385
141.15,124.72,21.95,14.04,4.18,56.75,316.5
18.64,81.09,13.37,45.23,8.33,47.83,81.09
30.81,127.12,83.87,40.11,0.85,101.96,118.4133333
48.22,67.88,7.54,22.66,3.92,48.72,79.7
15.11,157.21,19.67,19.55,5.04,49.97,138.4733333
74.96,102.22,79.06,19.51,7.62,102.06,147.5333333
133.24,140.13,56.06,39.48,4.01,155.82,310.4153846
11.35,132.88,50.49,11.68,9.01,37.98,122.2533333
47.59,165.07,44.11,44.48,0.84,93.21,143.7133333
126.2,123.71,56.41,28.08,1.03,85.32,305
58.2,140.35,29.62,20.97,3.93,83.26,127.2333333
114.19,75.82,74.9,9.88,6.43,66.64,278.3
114.38,125.52,78.66,32.47,2.38,146.72,278.9333333
31.93,157,41.58,8.76,4.71,190.39,255.8461538
104.86,102.71,96.75,12.59,0.53,175.7,247.2
58.97,182.31,72.73,47.9,6.74,135.61,155.2066667
66.84,190.01,23.05,47.62,3.46,34.66,160.34
23.05,157.67,88.58,36.34,9.51,115.68,138.78
77.34,91.28,88.37,20.25,3.27,138.53,157.0149254
78.75,124.49,60.01,14.16,3.46,156.55,183.9104478
